x_desired,x_actual,error
0.2,0.214070001,0.014070001
0.21,0.222898597,0.012898597
0.22,0.231816259,0.011816259
0.23,0.241327759,0.011327759
0.24,0.25113832,0.01113832
0.25,0.26029648,0.01029648
0.26,0.26994818,0.00994818
0.27,0.279231004,0.009231004
0.28,0.28802055,0.00802055
0.29,0.296997242,0.006997242
0.3,0.305858546,0.005858546
0.31,0.315047673,0.005047673
0.32,0.32465316,0.00465316
0.33,0.333658434,0.003658434
0.34,0.342849135,0.002849135
0.35,0.351566152,0.001566152
0.36,0.361006453,0.001006453
0.37,0.369718672,-0.000281328
0.38,0.378862312,-0.001137688
0.39,0.388304055,-0.001695945
0.4,0.397581425,-0.002418575
0.41,0.406241143,-0.003758857
0.42,0.415528357,-0.004471643
0.43,0.424962444,-0.005037556
0.44,0.433767514,-0.006232486
0.45,0.442520167,-0.007479833
0.46,0.452331607,-0.007668393
0.47,0.461682671,-0.008317329
0.48,0.47086496,-0.00913504
0.49,0.48013394,-0.00986606
0.5,0.48948997,-0.01051003
0.51,0.499169418,-0.010830582
0.52,0.508502668,-0.011497332
0.53,0.51852279,-0.01147721
0.54,0.52853385,-0.01146615
0.55,0.538731392,-0.011268608
0.56,0.54864285,-0.01135715
0.57,0.558806367,-0.011193633
0.58,0.571228025,-0.008771975
0.59,0.583594149,-0.006405851
0.6,0.595689401,-0.004310599
0.61,0.607238475,-0.002761525
0.62,0.618116358,-0.001883642
0.63,0.631534636,0.001534636
0.64,0.644719998,0.004719998
0.65,0.654281052,0.004281052
0.66,0.666300147,0.006300147
0.67,0.679123024,0.009123024
0.68,0.692276435,0.012276435
0.69,0.701870125,0.011870125
0.7,0.713802264,0.013802264
0.71,0.725981558,0.015981558
0.72,0.736540502,0.016540502
0.73,0.750244267,0.020244267
0.74,0.759137817,0.019137817
0.75,0.774143818,0.024143818
0.76,0.783264164,0.023264164
0.77,0.793935487,0.023935487
0.78,0.806290661,0.026290661
0.79,0.817246821,0.027246821
0.8,0.828447642,0.028447642
0.81,0.838433632,0.028433632
0.82,0.851119005,0.031119005
0.83,0.862545713,0.032545713
0.84,0.869969914,0.029969914
0.85,0.881784787,0.031784787
0.86,0.892711548,0.032711548
0.87,0.90171947,0.03171947
0.88,0.91427767,0.03427767
0.89,0.924747093,0.034747093
0.9,0.934927496,0.034927496
0.91,0.944084471,0.034084471
0.92,0.953983442,0.033983442
0.93,0.966403926,0.036403926
0.94,0.974765088,0.034765088
0.95,0.98766809,0.03766809
0.96,0.995640659,0.035640659
0.97,1.005255493,0.035255493
0.98,1.016725721,0.036725721
0.99,1.025651631,0.035651631
1,1.031215537,0.031215537
1.01,1.045933658,0.035933658
1.02,1.054069382,0.034069382
1.03,1.062948279,0.032948279
1.04,1.072952785,0.032952785
1.05,1.085397467,0.035397467
1.06,1.092162547,0.032162547
1.07,1.100677634,0.030677634
1.08,1.110127353,0.030127353
1.09,1.121222447,0.031222447
1.1,1.127508315,0.027508315
1.11,1.136991862,0.026991862
1.12,1.148418646,0.028418646
1.13,1.153965639,0.023965639
1.14,1.162611834,0.022611834
1.15,1.174958291,0.024958291
1.16,1.183326008,0.023326008
1.17,1.193271446,0.023271446
1.18,1.199830363,0.019830363
1.19,1.209472685,0.019472685
1.2,1.220362373,0.020362373
1.21,1.225661276,0.015661276
1.22,1.230813482,0.010813482
1.23,1.243370475,0.013370475
1.24,1.252577356,0.012577356
1.25,1.256606023,0.006606023
1.26,1.267195245,0.007195245
1.27,1.274020521,0.004020521
1.28,1.283123344,0.003123344
1.29,1.28795816,-0.00204184
1.3,1.298132354,-0.001867646
1.31,1.306730764,-0.003269236
1.32,1.314255827,-0.005744173
1.33,1.323590006,-0.006409994
1.34,1.328283992,-0.011716008
1.35,1.340118556,-0.009881444
1.36,1.347980734,-0.012019266
1.37,1.35434189,-0.01565811
1.38,1.361944986,-0.018055014
1.39,1.366686326,-0.023313674
1.4,1.380709895,-0.019290105
1.41,1.388500247,-0.021499753
1.42,1.391148534,-0.028851466
1.43,1.399455295,-0.030544705
1.44,1.406344063,-0.033655937
1.45,1.411411959,-0.038588041
1.46,1.421769526,-0.038230474
1.47,1.426146878,-0.043853122
1.48,1.43327498,-0.04672502
1.49,1.4413745,-0.0486255
1.5,1.450949104,-0.049050896
